tool,year,number
SPSS,2008,326000
SPSS,2009,324000
SPSS,2010,329000
SPSS,2011,310000
SPSS,2012,263000
SPSS,2013,289000
SPSS,2014,229000
SPSS,2015,190000
SPSS,2016,139000
SPSS,2017,106000
SPSS,2018,74800
R,2008,5170
R,2009,6930
R,2010,9090
R,2011,10900
R,2012,15200
R,2013,17900
R,2014,20600
R,2015,22400
R,2016,23900
R,2017,27400
R,2018,28300
SAS,2008,84600
SAS,2009,86800
SAS,2010,85000
SAS,2011,86900
SAS,2012,78800
SAS,2013,79500
SAS,2014,66300
SAS,2015,63400
SAS,2016,51800
SAS,2017,41300
SAS,2018,30400
Stata,2008,11500
Stata,2009,13600
Stata,2010,13000
Stata,2011,16300
Stata,2012,17700
Stata,2013,22200
Stata,2014,24200
Stata,2015,29400
Stata,2016,31700
Stata,2017,30300
Stata,2018,29100
